Time(Iteration),CLUB,CoLin,GOBLin,LinUCB
0,1.77581516175,0.83326204992,2.19926708551,1.77581516175
10,8.66006921904,3.44640672592,5.39805851701,6.73294365571
20,9.71696166459,4.1001496953,6.00508260346,7.23334392121
30,11.4490770393,4.56709464582,6.4722506184,7.7137592221
40,11.9777321658,4.90347410075,6.70254146157,7.93416788313
50,12.6921316154,5.15439641319,6.95480157683,8.14841529173
60,12.9614789573,5.20585184305,7.01230627891,8.27270505259
70,13.3028881454,5.24207962174,7.12439611995,8.37249060217
80,13.5748731878,5.26876435026,7.17288389851,8.41082834231
90,13.8311532285,5.28906489706,7.25194775241,8.44327006905
100,14.4072271486,5.31171873914,7.36893962674,8.54902813803
110,14.6118422529,5.32249037933,7.40539430257,8.570155215
120,14.8383290446,5.36120207024,7.49530499014,8.75824143673
130,15.015745723,5.42397366527,7.50991745577,8.80103890629
140,15.2210464676,5.44983597082,7.5931080176,8.89059462735
150,15.340398188,5.47294546044,7.65682537352,8.95431198327
160,15.4708301397,5.47518828049,7.66662881093,8.96411542068
170,15.5448719521,5.47739843825,7.69517908685,8.97462790522
180,15.6857753132,5.52422419498,7.70532268831,8.98477150668
190,15.8964074155,5.52878660911,7.71565962458,8.99510844295
Time(Iteration),CLUB,CoLin,GOBLin,LinUCB
0,2.56695425937,1.97228089759,2.53093028864,2.56695425937
10,9.94721936508,3.6916872066,5.67510993266,7.42416775169
20,10.5711571684,4.01601266249,6.27945603046,7.76417398585
30,11.2165724541,4.19530452199,6.43061920197,7.87202443612
40,11.619627752,4.30816883687,6.6086640377,8.04141663849
50,12.0536179732,4.42552840233,6.80754089886,8.23286688407
60,12.37676497,4.45669050202,6.91676774743,8.33473493935
70,12.5245927016,4.53054123047,6.95937240046,8.37016132955
80,12.7297626575,4.59106094367,7.06003083989,8.47081976898
90,12.9667246423,4.59946480782,7.18258874146,8.5857552987
100,13.4140720013,4.62823802934,7.26607879445,8.67239727886
110,13.6052300703,4.66782232988,7.32802801177,8.73434649617
120,13.7517240904,4.67355357107,7.33643653108,8.74275501548
130,13.9361753978,4.69909896399,7.3458285031,8.75214698751
140,14.2584372712,4.75917561387,7.43318099384,8.88364140982
150,14.3687759068,4.79293383564,7.51802350145,8.92883759488
160,14.4545272689,4.80019221644,7.54552789794,8.95634199137
170,14.5393762795,4.83268737144,7.58613291483,8.9905734416
180,14.7361029338,4.84556435081,7.71632088149,9.12060222819
190,14.7917288974,4.85661564574,7.95972838331,9.15512830317
