Time(Iteration),CLUB,GOBLin,LinUCB
0,4.69718247282,4.23395585193,4.86906162317
10,12.9163544213,5.98417696642,10.0660038181
20,13.7527672045,6.49926965014,10.4351720962
30,14.5671395603,6.73608063472,10.7248526611
40,14.7393171411,6.78836696203,10.8251517148
50,15.1529903453,6.92364611256,10.9888843658
60,15.2353579953,7.0159695434,11.71185558
70,15.313608803,7.27387421091,11.7652474721
80,15.5331447225,7.44246492177,12.2568036764
90,15.6256399866,7.46159571327,12.2695496315
100,15.7203866014,7.69363444557,12.2770224383
110,15.8954742755,7.75053139567,12.470180407
120,16.1752667407,7.94507977824,12.5062825776
130,16.2545574861,8.01619874115,12.5233149556
140,16.405593595,8.12352261211,12.6306388266
150,16.4926441969,8.19519397954,12.652148199
160,16.7599868813,8.26418097751,12.721135197
170,16.7996104346,8.30331970333,12.7602739228
180,16.8300013202,8.31777065033,12.7747248698
190,16.9263087299,8.33841329154,12.795367511
