Time(Iteration),CLUB,LinUCB
Time(Iteration),CLUB,LinUCB
Time(Iteration),CLUB,LinUCB
0,7.14143785957,6.43552522388
10,26.8443716734,14.3853112466
20,40.7208500049,15.0494031534
30,52.5348928159,15.1076337514
40,58.09829201,15.2185959795
50,63.5922279236,15.2319453342
60,66.7929481361,15.287483006
70,70.4021863657,15.331036673
80,72.4678820443,15.4549458079
90,75.7120395731,15.5007362678
100,78.6064239727,15.6449153994
110,81.1770097225,15.7295689343
120,83.7479841659,15.7295689343
130,85.6787118548,15.8609213916
140,87.6560203077,15.9326457446
150,88.708200973,15.9406741301
160,90.6510950965,15.9502401053
170,91.4858613534,15.9866370369
180,91.5795997363,16.021158738
190,91.8980144434,16.0438649974
200,92.1854339361,16.1000199241
210,92.2826439815,16.1114720759
220,92.6388870562,16.1215153476
230,92.9232157068,16.262663921
240,93.0577769163,16.2996376982
250,93.1168887492,16.3038556062
260,93.5178599085,16.3038556062
270,94.0488956527,16.4239937466
280,94.3668324307,16.4239937466
290,94.5375760666,16.4539974601
300,94.8181362169,16.4539974601
310,95.2045854778,16.4915992797
320,95.2531740902,16.5102646828
330,95.5754645891,16.5187065429
340,95.8131618045,16.5238199539
350,96.0248308337,16.5238199539
360,96.5259375678,16.5238199539
370,96.6052654948,16.5388719009
380,96.8206251851,16.5388719009
390,97.1524438176,16.5392853755
400,97.3061866166,16.5396988501
410,97.5054831757,16.5416811143
420,97.7261008544,16.5420945889
430,98.1228145701,16.5420945889
440,98.6662768413,16.5420945889
450,99.1481817739,16.5420945889
460,99.7115743204,16.5420945889
470,100.16791927,16.5420945889
480,100.362001158,16.5420945889
490,100.742818054,16.5420945889
500,100.861931319,16.5440768531
510,101.24402234,16.5440768531
520,101.558125122,16.5440768531
530,101.726495696,16.5440768531
540,101.966899774,16.5465259879
550,102.162626385,16.5465259879
560,102.428507812,16.5487685672
570,102.433154538,16.5507508314
580,102.659885382,16.5535848409
590,102.734646367,16.5567336496
600,102.802852562,16.5667769213
610,103.013895542,16.5722048559
620,103.196075589,16.5722048559
630,103.46867139,16.5722048559
640,103.505641586,16.7452408617
650,103.657721439,16.7503542727
660,103.79721397,16.7583826582
670,103.822308391,16.7583826582
680,103.858887883,16.760778397
690,104.066310063,16.8164175773
700,104.121293002,16.8164175773
710,104.121293002,16.8164175773
720,104.124619832,16.8164175773
730,104.287503579,16.8164175773
740,104.287503579,16.8164175773
750,104.316194446,16.8164175773
760,104.490522664,16.8164175773
770,104.512701573,16.8164175773
780,104.557515142,16.8164175773
790,104.638139161,16.8164175773
800,104.704666823,16.8293898317
810,104.754380107,16.8300178741
820,104.843622771,16.8624693027
830,104.937384508,16.8706307104
840,105.019476024,16.9370279926
850,105.030300133,16.9370279926
860,105.053694545,16.9370279926
870,105.094199934,16.9556933957
880,105.105554734,16.9556933957
890,105.113583119,16.9637217812
900,105.113583119,16.9637217812
910,105.187534633,16.9737650529
920,105.198956154,16.9785649451
930,105.293231101,16.9785649451
940,105.42283086,16.9785649451
950,105.437560946,16.9785649451
960,105.517243828,17.0146524225
970,105.550681512,17.0146524225
980,105.667046354,17.0146524225
990,105.699556768,17.0146524225
