Time(Iteration),SCLUB,LinUCB
Time(Iteration),SCLUB,LinUCB
Time(Iteration),CLUB,LinUCB
Time(Iteration),CLUB,LinUCB
0,2.96987523337,2.02247913259
10,27.797116574,4.61493696965
20,44.4589590861,5.01585507002
30,53.2849107345,5.34088877269
40,61.3253095046,5.43881799456
50,69.9618683266,5.80219567536
60,79.3753064515,5.97264555078
70,90.4983953177,6.07497449362
80,100.446077807,6.13498226748
90,109.907431169,6.24179257266
100,117.928228974,6.350875166
110,127.878156754,6.43522563926
120,134.575583343,6.56198130157
130,142.494473164,6.76282709571
140,147.597039903,6.81544168841
150,149.881069324,6.8857860832
160,153.323569054,6.95055941132
170,156.473127332,6.98265027997
180,159.218304281,7.02138047635
190,162.534220739,7.1108762424
200,164.451089805,7.14124487743
210,166.101490198,7.17481921133
220,168.187307498,7.20505574645
230,170.457206564,7.2565595984
240,172.901785828,7.31240626064
250,175.786783297,7.87804897675
260,177.47463367,7.95248601168
270,179.484352297,7.99490650654
280,181.778571826,8.05506154094
290,182.492008476,8.10532020203
300,183.753045784,8.11931783379
310,185.326945811,8.15590057399
320,186.75893024,8.18887903049
330,187.363883378,8.22598355063
340,188.427102746,8.28100531621
350,189.465070634,8.31237950072
360,190.778063332,8.40254852654
370,191.664390453,8.45940269562
380,192.12933785,8.4907145184
390,192.782320908,8.52344785044
400,193.856792199,8.56028968673
410,194.897431647,8.59860676737
420,195.641040151,8.64969213316
430,196.274599757,8.66973253521
440,197.257702613,8.67514289356
450,198.246175135,8.75485643492
460,199.149623408,8.83317727022
470,199.575649281,8.85247441853
480,200.157011119,8.88756003994
490,200.542983803,8.90489757838
500,201.012221226,8.94880431272
510,201.314622223,9.00022623295
520,201.572137843,9.03024322215
530,201.918865062,9.0645780111
540,202.249190504,9.08884619684
550,202.81893269,9.22088739995
560,203.138254362,9.23979605096
570,203.559282547,9.27057676756
580,203.766817529,9.3049536039
590,203.998658994,9.32386225491
600,204.544506484,9.34056744263
610,204.856086382,9.38012321553
620,205.243655083,9.42165103106
630,205.536715571,9.46410004209
640,205.614767147,9.51562117742
650,205.850455628,9.52148778869
660,206.089193319,9.56048933394
670,206.278217302,9.57993746129
680,206.585780303,9.60633280112
690,207.016161691,9.6291318631
700,207.391498179,9.65525349355
710,207.533116516,9.67054444375
720,207.854375143,9.68176573137
730,208.030649236,9.7086781227
740,208.464609135,9.73263243782
750,208.708298938,9.78984850542
760,209.201404195,9.82856618257
770,209.625010124,9.88441835299
780,210.295122774,9.93647464096
790,210.532006873,9.96522891647
800,211.048197116,10.0284497529
810,211.768705386,10.0532923661
820,211.976172075,10.0775231315
830,212.265863782,10.1177436706
840,212.7340772,10.161013968
850,212.93491151,10.1984749749
860,213.218701449,10.2197211386
870,213.337676666,10.2374359881
880,213.710417409,10.2700760187
890,213.908400611,10.3214697369
900,214.157058995,10.879437118
910,214.609343788,10.9080798827
920,214.899791424,10.9279638075
930,215.272014013,10.9462100109
940,215.635813188,10.964154328
950,215.806287955,11.011453739
960,216.048827315,11.0525306151
970,216.275748011,11.0946942235
980,216.394019953,11.1324169772
990,216.491000449,11.1681481121
