Time(Iteration),CLUB,SCLUB,LinUCB
0,3.1340615,3.41671909889,3.6945550943
10,34.2627709339,23.5771675076,9.70254603848
20,61.4192098558,36.2068215445,10.3017009285
30,90.0856144124,52.3875695616,10.4636384879
40,114.454946529,64.3276027187,10.5709652545
50,132.580445888,72.8339752899,10.6186512274
60,142.152104045,80.486333292,10.6349396822
70,148.788986204,86.8467053805,10.6635521616
80,156.952314562,94.8271784444,10.6953893985
90,163.765446554,101.039265703,10.8628035852
100,170.521959315,105.682491043,10.8717659048
110,177.580326075,109.240729562,10.941201726
120,184.808587784,113.857634951,10.9892177838
130,191.784978321,116.785100564,11.0019805901
140,199.128572846,120.846919949,11.013125849
150,206.049613939,124.565302526,11.0508375073
160,211.967961695,129.283662373,11.08079668
170,214.236474663,135.018683467,11.1111599307
180,215.92035851,139.114273473,11.1399828158
190,216.803568792,141.719242802,11.1568624568
200,217.621731717,146.060661216,11.2048652908
210,218.595087066,149.274586176,11.230248846
220,219.592848814,152.263410553,11.2307515435
230,220.946489122,155.896216568,11.2604205349
240,221.483184011,158.790973718,11.2672856238
250,222.111947722,162.160308642,11.2693510965
260,222.754923695,165.21022945,11.3147789532
270,223.062387657,167.758756021,11.3147789532
280,223.520924082,170.840867307,11.3430040174
290,224.172426316,174.061945072,11.3707076584
300,224.876747352,177.228508514,11.3784916999
310,225.287593531,178.781713051,11.388925131
320,225.867652986,181.4947776,11.4066744587
330,226.673698237,184.685598788,11.4066744587
340,226.953346396,186.220972777,11.442378792
350,227.190560355,188.775902315,11.4752347347
360,227.494593223,189.671506598,11.4894835802
370,227.953957454,191.389763935,11.5077924831
380,228.101918631,193.227641577,11.5077924831
390,228.309931994,195.121322912,11.5293378321
400,228.554346545,196.459876287,11.5422292964
410,228.78050891,198.059066006,11.5431757303
420,228.969311863,199.328694957,11.5487970781
430,229.507614161,200.1622499,11.5651084817
440,229.79432267,201.122236973,11.5779766768
450,230.127182764,201.768852296,11.5952286417
460,230.67082417,202.272820797,11.6005644825
470,230.86331174,203.017176617,11.6205707549
480,231.307641059,203.118476772,11.6660460352
490,231.717092082,203.462379113,11.6775491718
500,232.019108626,203.964995611,11.6837659571
510,232.164135935,204.027656785,11.6872242261
520,232.472978602,204.252552165,11.7235749135
530,232.998078014,204.706101408,11.7235749135
540,233.196586537,204.847113263,11.7243577953
550,233.609083462,205.272813144,11.7308752871
560,233.974204701,205.536117438,11.7501759993
570,234.256971343,205.828275781,11.7576424281
580,234.554848238,206.153530316,11.7722346452
590,234.673927751,206.350043674,11.7746701291
600,234.759410264,206.433721702,11.7904024282
610,234.899850832,206.655633024,11.79118531
620,235.129172762,206.739019084,11.7936626528
630,235.387634562,206.946762178,11.7936626528
640,235.634271068,207.158983736,11.7982413251
650,235.980675624,207.408220143,11.8448677039
660,236.135069925,207.493420472,11.8585265057
670,236.344899466,207.605867745,11.9171324024
680,236.454839037,207.675782446,11.9173093119
690,236.606532415,207.751299553,11.9173093119
700,236.688013504,207.836804644,11.932341556
710,236.722228791,207.867202636,11.9484275957
720,236.767109411,207.889947803,11.9570678486
730,236.782917928,207.913407191,11.9728763655
740,236.832741727,207.953966588,11.9801748198
750,236.876009133,207.999151062,11.9838699533
760,236.926317444,208.031567789,11.9904254267
770,236.952296899,208.067100007,12.003931084
780,237.024243232,208.1724748,12.0097717048
790,237.078155202,208.207233761,12.0098864693
800,237.090793822,208.25469784,12.0283213637
810,237.15690677,208.339395016,12.0581243066
820,237.195189709,208.387276388,12.0799128649
830,237.243732288,208.400123726,12.0927602034
840,237.335064575,208.441752201,12.0927602034
850,237.421018152,208.489723201,12.1061930376
860,237.529374765,208.489723201,12.1061930376
870,237.631579,208.491643817,12.1061930376
880,237.684906779,208.552124707,12.1061930376
890,237.763450292,208.575236722,12.1061930376
900,237.771931187,208.603939746,12.1061930376
910,237.803898275,208.621689051,12.1061930376
920,237.821800956,208.642310015,12.114139292
930,237.906651345,208.733793501,12.1215394445
940,237.917431269,208.839322376,12.1364001414
950,238.036616614,208.893511686,12.1376357896
960,238.057065629,208.913960701,12.1397012622
970,238.089662258,208.979004784,12.1398160267
980,238.180979597,209.091547475,12.144394699
990,238.21387181,209.165959186,12.151162301
