Time(Iteration),LinUCB
0,1.34725858421
10,11.8841465962
20,17.630218533
30,20.4392759103
40,21.5796940035
50,22.2982204299
60,22.7675018877
70,22.8919554258
80,23.1941824939
90,23.3520616869
100,23.5414226714
110,23.6473792504
120,23.9109072607
130,24.0649028633
140,24.2511074294
150,24.3291723487
160,24.399865914
170,24.5009468362
180,24.6252187727
190,24.7086167619
Time(Iteration),LinUCB
0,1.675831914
10,14.4212290395
20,18.4935321853
30,21.0854571816
40,22.3844600691
50,23.2120708906
60,23.5758795784
70,23.8904408521
80,24.1845352365
90,24.358920784
100,24.5483137524
110,24.6710401071
120,24.7647972405
130,24.8796274116
140,24.9773100268
150,25.0896613729
160,25.1910878798
170,25.2648475762
180,25.3117220561
190,25.3938532131
Time(Iteration),LinUCB
0,2.09308627153
10,15.6216641071
20,21.5637456585
30,23.3544880394
40,24.3693303022
50,24.8154435347
60,25.1981133716
70,25.7190531771
80,26.0406785181
90,26.1425946005
100,26.485492953
110,26.8028136379
120,26.9321718673
130,27.0158055778
140,27.1005755264
150,27.2009963287
160,27.3055591813
170,27.4673630234
180,27.5475945744
190,27.5964598494
Time(Iteration),LinUCB
0,23.3981892597
10,150.722929016
20,200.391721226
30,220.529766299
40,230.891782677
50,237.53619844
60,242.140612039
70,245.232492804
80,248.048110385
90,250.28718749
100,252.310034023
110,254.152470471
120,255.961767502
130,257.257130885
140,258.577465892
150,259.964075321
160,261.019318944
170,262.052516891
180,263.253490581
190,264.44539959
Time(Iteration),CLUB,SCLUB,LinUCB
0,17.9660882365,43.7865628665,32.7931083342
10,292.756894845,345.430550729,168.893510944
20,529.545207579,557.393675058,218.676735096
30,751.767620756,735.639772606,240.338611465
40,948.057267981,885.935048259,249.553397493
50,1106.68450153,1005.90372698,256.934445033
60,1248.21914767,1105.43347642,261.544864806
70,1364.26258784,1198.26632136,265.211652216
80,1465.69647203,1286.12720045,268.282383739
90,1546.52875389,1362.47105021,270.985413774
100,1626.7287349,1440.85442758,274.098225272
110,1694.89968938,1511.368005,276.489317106
120,1766.13635515,1589.36042631,278.326014965
130,1837.92777593,1660.71139548,280.239810335
140,1917.63514577,1727.39611506,282.4447299
150,1987.23964273,1794.66849371,284.30042183
160,2055.07488937,1855.38696117,285.634782333
170,2119.51545349,1909.17833816,287.05930365
180,2177.92189458,1958.06451585,288.502441754
190,2226.64038717,2001.93863734,289.636800023
